Roll Number,dist_to_grocer_m,grocer_chain,grocer_store,grocer_id
9010356900,1852.4375069558932,Safeway,Safeway Transcona,12
9010357000,1850.2807440457336,Safeway,Safeway Transcona,12
9010357100,1851.9653837430794,Safeway,Safeway Transcona,12
9010357200,1853.7061378003057,Safeway,Safeway Transcona,12
9010357300,1855.4839634387565,Safeway,Safeway Transcona,12
9010357400,1857.3401147521834,Safeway,Safeway Transcona,12
9010357500,1859.32376697509,Safeway,Safeway Transcona,12
9010357600,1861.4406089490226,Safeway,Safeway Transcona,12
9010357700,1863.589496835433,Safeway,Safeway Transcona,12
9010357800,1865.7642449852167,Safeway,Safeway Transcona,12
9010357900,1868.0741196584506,Safeway,Safeway Transcona,12
9010358000,1874.8469630938189,Safeway,Safeway Transcona,12
9010364000,1891.2537410205223,Safeway,Safeway Transcona,12
9010364100,1897.0151728048472,Safeway,Safeway Transcona,12
9010364200,1896.5051008391881,Safeway,Safeway Transcona,12
9010364300,1899.7575903855025,Safeway,Safeway Transcona,12
9010364400,1903.0348883238462,Safeway,Safeway Transcona,12
9010364500,1906.3057529591179,Safeway,Safeway Transcona,12
9010364600,1911.5475103031217,Safeway,Safeway Transcona,12
9010392000,1941.3743487707695,Safeway,Safeway Transcona,12
9010392100,1946.3891798301054,Safeway,Safeway Transcona,12
9010392200,1948.150326927606,Safeway,Safeway Transcona,12
9010392300,1952.5779750871036,Safeway,Safeway Transcona,12
9010392400,1956.9792828341795,Safeway,Safeway Transcona,12
9010392500,1961.563675527034,Safeway,Safeway Transcona,12
9010392600,1966.22450792382,Safeway,Safeway Transcona,12
9010392700,1970.8509880820543,Safeway,Safeway Transcona,12
9010474245,1975.6621422972619,Safeway,Safeway Transcona,12
9010474250,1980.6625222223502,Safeway,Safeway Transcona,12
9010474255,1985.7997689251702,Safeway,Safeway Transcona,12
9010356800,1850.693433100337,Safeway,Safeway Transcona,12
9010391900,1921.0240593796395,Safeway,Safeway Transcona,12
9010029900,1826.2364841500796,Safeway,Safeway Transcona,12
9010029700,1824.1092309459127,Safeway,Safeway Transcona,12
9010356700,1830.7609740922285,Safeway,Safeway Transcona,12
9010029500,1821.9680644613334,Safeway,Safeway Transcona,12
9010029300,1819.8126393619912,Safeway,Safeway Transcona,12
9010029100,1817.642388189832,Safeway,Safeway Transcona,12
9010363900,1867.6039100632586,Safeway,Safeway Transcona,12
9010475985,1985.5621805601613,Safeway,Safeway Transcona,12
9010475990,1990.1197448909538,Safeway,Safeway Transcona,12
9010475995,1994.7336787418137,Safeway,Safeway Transcona,12
9010474860,1998.8513773927532,Safeway,Safeway Transcona,12
9010028900,1815.4566969620068,Safeway,Safeway Transcona,12
9010474865,2002.557017991646,Safeway,Safeway Transcona,12
9010028700,1813.2550756229462,Safeway,Safeway Transcona,12
9010474870,2006.3230660782397,Safeway,Safeway Transcona,12
9010028500,1811.0367223253738,Safeway,Safeway Transcona,12
9010474875,2010.1490378663495,Safeway,Safeway Transcona,12
9010038000,1808.919096794567,Safeway,Safeway Transcona,12
9010474880,2014.705202091809,Safeway,Safeway Transcona,12
9010037800,1806.9031410519333,Safeway,Safeway Transcona,12
9010037600,1804.8720806002216,Safeway,Safeway Transcona,12
9010037400,1802.7900045237434,Safeway,Safeway Transcona,12
9010391800,1897.4964325506955,Safeway,Safeway Transcona,12
9010356600,1808.6240918793828,Safeway,Safeway Transcona,12
9010127600,1795.842474740451,Safeway,Safeway Transcona,12
9010363800,1846.1554779973678,Safeway,Safeway Transcona,12
9010358100,1881.381101177914,Safeway,Safeway Transcona,12
9010364700,1922.215146985763,Safeway,Safeway Transcona,12
9010358200,1865.5819556010551,Safeway,Safeway Transcona,12
9010364800,1916.8583409222217,Safeway,Safeway Transcona,12
9010474885,2018.475502285313,Safeway,Safeway Transcona,12
9010474890,2021.030903987306,Safeway,Safeway Transcona,12
9010030300,1833.7800367620387,Safeway,Safeway Transcona,12
9010308500,1841.1313558885959,Safeway,Safeway Transcona,12
9010358300,1843.2216370884203,Safeway,Safeway Transcona,12
9010474895,2024.2745029040607,Safeway,Safeway Transcona,12
9010364900,1891.554203445393,Safeway,Safeway Transcona,12
9010030100,1828.514291051532,Safeway,Safeway Transcona,12
9010308400,1831.23095067515,Safeway,Safeway Transcona,12
9010474900,2027.5878575050833,Safeway,Safeway Transcona,12
9010474905,2031.5666484048404,Safeway,Safeway Transcona,12
9010356500,1793.389582521597,Safeway,Safeway Transcona,12
9010308300,1803.8448689977213,Safeway,Safeway Transcona,12
9010391700,1882.169099365466,Safeway,Safeway Transcona,12
9010474910,2035.1131031312846,Safeway,Safeway Transcona,12
9010354500,1798.6887682040397,Safeway,Safeway Transcona,12
9010354600,1791.5257852644368,Safeway,Safeway Transcona,12
9010354700,1793.565908754711,Safeway,Safeway Transcona,12
9010354800,1795.7440272968524,Safeway,Safeway Transcona,12
9010354900,1798.0288373134085,Safeway,Safeway Transcona,12
9010355000,1800.3785176138208,Safeway,Safeway Transcona,12
9010355100,1815.0667052949507,Safeway,Safeway Transcona,12
9010363700,1831.8642622339723,Safeway,Safeway Transcona,12
9010367100,1845.288708515915,Safeway,Safeway Transcona,12
9010474915,2037.929344947978,Safeway,Safeway Transcona,12
9010367200,1853.7276432169335,Safeway,Safeway Transcona,12
9010388100,1896.9643507246737,Safeway,Safeway Transcona,12
9010388200,1908.7013311378912,Safeway,Safeway Transcona,12
9010390900,1928.8981133272102,Safeway,Safeway Transcona,12
9010474535,1944.01886925987,Safeway,Safeway Transcona,12
9010474710,1965.061351449913,Safeway,Safeway Transcona,12
9010308200,1786.3305243942414,Safeway,Safeway Transcona,12
9010474715,1957.8893739817258,Safeway,Safeway Transcona,12
9010474920,2037.493183973926,Safeway,Safeway Transcona,12
9010358400,1827.1729785218868,Safeway,Safeway Transcona,12
9010126600,1774.814571266958,Safeway,Safeway Transcona,12
9010356400,1780.6665968971122,Safeway,Safeway Transcona,12
9010365000,1874.7640317515647,Safeway,Safeway Transcona,12
9010365100,1861.424627822336,Safeway,Safeway Transcona,12
9010354400,1786.602894818843,Safeway,Safeway Transcona,12
9010358500,1814.9389836832006,Safeway,Safeway Transcona,12
9010474925,2035.5295834362887,Safeway,Safeway Transcona,12
9010028100,1759.907997615307,Safeway,Safeway Transcona,12
9010028300,1761.979230341768,Safeway,Safeway Transcona,12
9010355200,1803.0884436697647,Safeway,Safeway Transcona,12
9010391600,1870.4144788206243,Safeway,Safeway Transcona,12
9010027900,1757.8145915545117,Safeway,Safeway Transcona,12
9010367000,1833.506318145009,Safeway,Safeway Transcona,12
9010363600,1819.5250007853758,Safeway,Safeway Transcona,12
9010027700,1755.8013739318635,Safeway,Safeway Transcona,12
9010367300,1841.277421623101,Safeway,Safeway Transcona,12
9010388000,1884.8064306479812,Safeway,Safeway Transcona,12
9010388300,1896.7329993440612,Safeway,Safeway Transcona,12
9010027500,1753.8680865145282,Safeway,Safeway Transcona,12
9010474530,1932.7396805750245,Safeway,Safeway Transcona,12
9010390800,1916.4978175302388,Safeway,Safeway Transcona,12
9010027300,1752.0140294172422,Safeway,Safeway Transcona,12
9010474705,1952.892152194162,Safeway,Safeway Transcona,12
9010474930,2032.581545197332,Safeway,Safeway Transcona,12
9010027200,1750.2365815997116,Safeway,Safeway Transcona,12
9010127400,1787.8386473946114,Safeway,Safeway Transcona,12
9010027100,1748.539332323747,Safeway,Safeway Transcona,12
9010027000,1746.9263090979225,Safeway,Safeway Transcona,12
9010308100,1772.0788366688735,Safeway,Safeway Transcona,12
9010356300,1767.929878411744,Safeway,Safeway Transcona,12
9010026900,1745.3803875927506,Safeway,Safeway Transcona,12
9010365200,1849.4827868474283,Safeway,Safeway Transcona,12
9010354300,1774.5165831551212,Safeway,Safeway Transcona,12
9010358600,1803.0289009969342,Safeway,Safeway Transcona,12
9010127200,1783.9587828248218,Safeway,Safeway Transcona,12
9010391500,1859.4272122870548,Safeway,Safeway Transcona,12
9010474935,2030.1870839034714,Safeway,Safeway Transcona,12
9010366900,1821.434783250453,Safeway,Safeway Transcona,12
9010363500,1807.0731254697546,Safeway,Safeway Transcona,12
9010308000,1759.3997860282934,Safeway,Safeway Transcona,12
9010367400,1829.2650756892526,Safeway,Safeway Transcona,12
9010127000,1780.2559298067658,Safeway,Safeway Transcona,12
9010387900,1872.7746000644222,Safeway,Safeway Transcona,12
9010388400,1884.7755876756146,Safeway,Safeway Transcona,12
9010474525,1921.5654591181296,Safeway,Safeway Transcona,12
9010390700,1904.3914064871633,Safeway,Safeway Transcona,12
9010474700,1940.7392387203768,Safeway,Safeway Transcona,12
9010126800,1779.159305342946,Safeway,Safeway Transcona,12
9010474940,2028.0137676543616,Safeway,Safeway Transcona,12
9010355300,1790.720261803437,Safeway,Safeway Transcona,12
9010140800,1736.4143694179213,Safeway,Safeway Transcona,12
9010365300,1837.8625952391014,Safeway,Safeway Transcona,12
9010354200,1762.150383262211,Safeway,Safeway Transcona,12
9010356200,1755.1941221227698,Safeway,Safeway Transcona,12
9010391400,1847.8721009851204,Safeway,Safeway Transcona,12
9010141200,1747.0281826838193,Safeway,Safeway Transcona,12
9010141000,1749.1280550145468,Safeway,Safeway Transcona,12
9010366800,1809.0746288181017,Safeway,Safeway Transcona,12
9010474720,1963.315374697295,Safeway,Safeway Transcona,12
9010363400,1794.6262003265872,Safeway,Safeway Transcona,12
9010037200,1752.0445883955167,Safeway,Safeway Transcona,12
9010367500,1817.5522098090134,Safeway,Safeway Transcona,12
9010307900,1746.9469632451696,Safeway,Safeway Transcona,12
9010037000,1739.9450675516407,Safeway,Safeway Transcona,12
9010474520,1910.403610318451,Safeway,Safeway Transcona,12
9010387800,1860.7547668505472,Safeway,Safeway Transcona,12
9010388500,1873.1143608194352,Safeway,Safeway Transcona,12
9010126400,1756.993325851478,Safeway,Safeway Transcona,12
9010474945,2025.9111673644902,Safeway,Safeway Transcona,12
9010390600,1892.5783852299162,Safeway,Safeway Transcona,12
9010141400,1742.0495359526033,Safeway,Safeway Transcona,12
9010474725,1966.8434477702303,Safeway,Safeway Transcona,12
9010474695,1929.7811317945109,Safeway,Safeway Transcona,12
9010355400,1777.9478188772648,Safeway,Safeway Transcona,12
9010358700,1790.2261657107024,Safeway,Safeway Transcona,12
9010365400,1826.2498629755394,Safeway,Safeway Transcona,12
9010307200,1736.5995518907746,Safeway,Safeway Transcona,12
9010354100,1749.522133883373,Safeway,Safeway Transcona,12
9010356100,1742.4593495175766,Safeway,Safeway Transcona,12
9010391300,1835.7491934206432,Safeway,Safeway Transcona,12
9010036800,1729.9353722674362,Safeway,Safeway Transcona,12
9010366700,1797.0149195223885,Safeway,Safeway Transcona,12
9010367600,1805.5529227583586,Safeway,Safeway Transcona,12
9010363300,1782.1843276669422,Safeway,Safeway Transcona,12
9010474515,1899.2542078160302,Safeway,Safeway Transcona,12
9010126200,1734.094179179802,Safeway,Safeway Transcona,12
9010388600,1861.7490676739912,Safeway,Safeway Transcona,12
9010387700,1848.7465777910302,Safeway,Safeway Transcona,12
9010474950,2022.2682424737015,Safeway,Safeway Transcona,12
9010390500,1880.4974893551912,Safeway,Safeway Transcona,12
9010474690,1920.3963458895425,Safeway,Safeway Transcona,12
9010355500,1765.454967139932,Safeway,Safeway Transcona,12
9010358800,1776.7067573955303,Safeway,Safeway Transcona,12
9010328500,1702.7243203607288,Safeway,Safeway Transcona,12
9010365500,1814.6447349978575,Safeway,Safeway Transcona,12
9010036600,1720.789775051436,Safeway,Safeway Transcona,12
9010354000,1736.5655885778035,Safeway,Safeway Transcona,12
9010356000,1729.537410306115,Safeway,Safeway Transcona,12
9010391200,1823.924532472346,Safeway,Safeway Transcona,12
9010140600,1716.8059191290545,Safeway,Safeway Transcona,12
9010474730,1969.24540642105,Safeway,Safeway Transcona,12
9010474955,2020.358401783035,Safeway,Safeway Transcona,12
9010307100,1722.6944899386872,Safeway,Safeway Transcona,12
9010474735,1976.933686918028,Safeway,Safeway Transcona,12
9010307800,1734.4924103981507,Safeway,Safeway Transcona,12
9010474510,1888.1171233378855,Safeway,Safeway Transcona,12
9010367700,1793.2678468933575,Safeway,Safeway Transcona,12
9010474740,1977.8179447582559,Safeway,Safeway Transcona,12
9010128800,1715.642925917565,Safeway,Safeway Transcona,12
9010388700,1850.111229642515,Safeway,Safeway Transcona,12
9010129000,1732.2856852063082,Safeway,Safeway Transcona,12
9010129200,1725.349578763203,Safeway,Safeway Transcona,12
9010387600,1836.719232942913,Safeway,Safeway Transcona,12
9010350600,1763.8272646229689,Safeway,Safeway Transcona,12
9010350500,1761.5956482112563,Safeway,Safeway Transcona,12
9010474745,1972.3067568128836,Safeway,Safeway Transcona,12
9010350400,1758.6135658516944,Safeway,Safeway Transcona,12
9010142200,1729.641925143305,Safeway,Safeway Transcona,12
9010390400,1868.1503660725741,Safeway,Safeway Transcona,12
9010036400,1711.6441741323104,Safeway,Safeway Transcona,12
9010358900,1764.3514167105202,Safeway,Safeway Transcona,12
9010474685,1909.1092552572702,Safeway,Safeway Transcona,12
9010474960,2017.974908363868,Safeway,Safeway Transcona,12
9010365600,1802.7573187278624,Safeway,Safeway Transcona,12
9010391100,1810.8766811839926,Safeway,Safeway Transcona,12
9010350700,1765.3388767559836,Safeway,Safeway Transcona,12
9010355600,1752.3868231886784,Safeway,Safeway Transcona,12
9010307000,1708.8716060356433,Safeway,Safeway Transcona,12
