name,store_name,street,city,province,postal_cod,country,source,lon,lat,audit_corrected,geometry
No Frills,ANDY & NICK'S NOFRILLS WINNIPEG,161 Goulet Street,Winnipeg,Manitoba,R2H 0R6,Canada,https://www.nofrills.ca/en/store-locator,-97.12153722,49.8827376,n,POINT (-97.12153722 49.8827376)
Save-on-foods,Bridgwater,400 Town Road North,Winnipeg,Manitoba,R3Y 0Y3,Canada,https://www.saveonfoods.com/sm/planning/rsid/1982/store,-97.199287,49.7980482,n,POINT (-97.199287 49.7980482)
Wal-mart,"C. Winnipeg, Manitoba",1001 Empress Street,Winnipeg,Manitoba,R3G 3P8,Canada,https://www.walmart.ca/en/store-finder?location=L5V%202N1,-97.19416103,49.89714611,y,POINT (-97.19416103 49.89714611)
No Frills,CHRIS' NOFRILLS WINNIPEG,600 Notre Dame Avenue,Winnipeg,Manitoba,R3B 1S4,Canada,https://www.nofrills.ca/en/store-locator,-97.15646701,49.8999148,n,POINT (-97.15646701 49.8999148)
Dino's Grocery Mart,Dino's Grocery Mart,84 Isabel Street,Winnipeg,Manitoba,R3A 1E9,Canada,google maps,-97.1509643,49.9006998,n,POINT (-97.1509643 49.9006998)
Family Foods,Downtown Family Foods,120 Donald Street,Winnipeg,Manitoba,R3C 4G2,Canada,https://familyfoods.ca/store-locator/manitoba/,-97.1410556,49.8883683,n,POINT (-97.1410556 49.8883683)
Wal-mart,"E. Winnipeg, Manitoba",1576 Regent Ave West,Winnipeg,Manitoba,R2C 3B4,Canada,https://www.walmart.ca/en/store-finder?location=L5V%202N1,-97.0641641,49.89392585,n,POINT (-97.0641641 49.89392585)
Food fare,Food fare,839 Cavalier Drive,Winnipeg,Manitoba,,Canada,https://foodfare.com/#,-97.2998362,49.8920755,n,POINT (-97.2998362 49.8920755)
Food fare,Food fare,247 Lilac Street,Winnipeg,Manitoba,,Canada,https://foodfare.com/#,-97.15681041,49.8698429,n,POINT (-97.15681041 49.8698429)
Food fare,Food fare,115 Maryland Street,Winnipeg,Manitoba,,Canada,https://foodfare.com/#,-97.1605564,49.8819773,n,POINT (-97.1605564 49.8819773)
Food fare,Food fare,905 Portage Avenue,Winnipeg,Manitoba,,Canada,https://foodfare.com/#,-97.17026981,49.885692,n,POINT (-97.17026981 49.885692)
Food fare,Food fare,2285 Portage Avenue,Winnipeg,Manitoba,,Canada,https://foodfare.com/#,-97.245055,49.8767222,n,POINT (-97.245055 49.8767222)
FreshCo,Freshco Henderson,731 Henderson Highway,Winnipeg,Manitoba,R2K2K4,Canada,https://www.freshco.com/store-locator,-97.10316175,49.92683375,n,POINT (-97.10316175 49.92683375)
FreshCo,FreshCo Jefferson & McPhillips,920 Jefferson Avenue,Winnipeg,Manitoba,R2P1W1,Canada,https://www.freshco.com/store-locator,-97.15762087,49.94505655,n,POINT (-97.15762087 49.94505655)
FreshCo,FreshCo Niakwa Village,2 Alpine Avenue,Winnipeg,Manitoba,R2M0Y5,Canada,https://www.freshco.com/store-locator,-97.10147366,49.855285,n,POINT (-97.10147366 49.855285)
FreshCo,FreshCo Pembina & McGillivray,1319 Pembina Highway,Winnipeg,Manitoba,R3T2B6,Canada,https://www.freshco.com/store-locator,-97.15411487,49.84043647,y,POINT (-97.15411487 49.84043647)
