X,Y,name,store_name,street,city,province,postal_cod,country,source,result_num,osm_id,display_na,category,type,latlong,audit_corrected
-97.2992578,49.8832098,Safeway,Safeway Crestview,3393 Portage Avenue,Winnipeg,Manitoba,R3K2G7,Canada,https://www.safeway.ca/store-locator,0,2902785094,"Shell Service Station, 3393, Portage Avenue, Crestview Shopping Centre, Crestview, St. James, Winnipeg, Manitoba, R3K 2G7, Canada",amenity,fuel,"49.8832098,-97.2992578",n
-97.2634719,49.8580669,Safeway,Safeway Charleswood Centre,3900 Grant Avenue,Winnipeg,Manitoba,R3R3C2,Canada,https://www.safeway.ca/store-locator,0,57732949,"Charleswood Centre, 3900, Grant Avenue, Charleswood, Elmhurst, Charleswood - Tuxedo - Westwood, Winnipeg, Manitoba, R3R 0E3, Canada",building,yes,"49.8580669,-97.2634718954337",n
-97.21183601,49.86728305,Safeway,Safeway Tuxedo,2025 Corydon Avenue,Winnipeg,Manitoba,R3P0N5,Canada,https://www.safeway.ca/store-locator,0,264780351,"Tuxedo Park Shopping Centre, 2025, Corydon Avenue, Edgeland, Charleswood - Tuxedo - Westwood, Winnipeg, Manitoba, R3P 0N5, Canada",building,yes,"49.86728305,-97.21183601171333",n
-97.19701146,49.9378612,Safeway,Safeway Tyndall Square,850 Keewatin Street,Winnipeg,Manitoba,R2R0Z5,Canada,https://www.safeway.ca/store-locator,0,700884772,"Tyndall Square, 850, Keewatin Street, Tyndall Park, Point Douglas, Winnipeg, Manitoba, R2X 3B9, Canada",building,yes,"49.9378612,-97.19701146196411",n
-97.20492605,49.88201075,Safeway,Safeway Madison Square,1612 Ness Avenue,Winnipeg,Manitoba,R3J0H7,Canada,https://www.safeway.ca/store-locator,0,115758707,"Safeway, 1612, Ness Avenue, Polo Park, St. James, Winnipeg, Manitoba, R3J 3X3, Canada",shop,supermarket,"49.88201075,-97.2049260487446",n
-97.20146626,49.82584245,Safeway,Safeway Lindenridge,1625 Kenaston Boulevard,Winnipeg,Manitoba,R3P2M4,Canada,https://www.safeway.ca/store-locator,0,54717639,"Safeway, 1625, Kenaston Boulevard, Linden Woods, River Heights - Fort Garry, Winnipeg, Manitoba, R3P 2M4, Canada",shop,supermarket,"49.825842449999996,-97.2014662640453",n
-97.1448148,49.92415185,Safeway,Safeway Mountain and McGregor,594 Mountain Avenue,Winnipeg,Manitoba,R2W1L2,Canada,https://www.safeway.ca/store-locator,0,201849745,"Safeway Mountain & McGregor, 594, Mountain Avenue, Inkster–Faraday, North End, Mynarski, Winnipeg, Manitoba, R2W 5G1, Canada",shop,supermarket,"49.92415185,-97.14481480150698",n
-97.1484939,49.8794753,Safeway,Safeway River Avenue,499 River Avenue,Winnipeg,Manitoba,R3L0C9,Canada,https://www.safeway.ca/store-locator,0,96666915,"Safeway, 499, River Avenue, Roslyn, Fort Rouge–East Fort Garry, Winnipeg, Manitoba, R3L 0C9, Canada",shop,supermarket,"49.879475299999996,-97.14849389999999",n
-97.15487727,49.8120399,Safeway,Safeway Pembina Village,2155 Pembina Highway,Winnipeg,Manitoba,R3T5S9,Canada,https://www.safeway.ca/store-locator,0,72942180,"Safeway, 2155, Pembina Highway, Montcalm, Winnipeg, Manitoba, R3T 2H1, Canada",shop,supermarket,"49.8120399,-97.1548772749378",n
-97.11471782,49.8820952,Safeway,Safeway Marion and Braemar,285 Marion Street,Winnipeg,Manitoba,R2H0T8,Canada,https://www.safeway.ca/store-locator,0,73315461,"Safeway, 285, Rue Marion Street, Maison Alliance Apartments, Central St. Boniface, St. Boniface, Winnipeg, Manitoba, R2H 0T8, Canada",shop,supermarket,"49.882095199999995,-97.11471781672414",n
-97.0826563,49.9462032,Safeway,Safeway River East Plaza,1441 Henderson Highway,Winnipeg,Manitoba,R2G1N4,Canada,https://www.safeway.ca/store-locator,0,541082149,"1441, Henderson Highway, North Kildonan, Rossmere-A, North Kildonan, Winnipeg, Manitoba, R2G 1M6, Canada",building,commercial,"49.9462032,-97.0826563",n
-96.9856272,49.9002583,Safeway,Safeway Transcona,654 Kildare Avenue East,Winnipeg,Manitoba,R2C0P8,Canada,https://www.safeway.ca/store-locator,0,366214000,"Safeway, 654, Kildare Avenue East, Kildare–Redonda, Kildare-Redonda, Transcona, Winnipeg, Manitoba, R2C 1J8, Canada",shop,supermarket,"49.9002583,-96.9856272",n
-97.0271773,49.910491,Sobeys,Sobeys Kildonan,50 Kildonan Green Drive,Winnipeg,Manitoba,R3W0H1,Canada,https://www.sobeys.com/store-locator,0,1351531814,"50, Kildonan Green Drive, Meadows, Transcona, Winnipeg, Manitoba, R2C 5B8, Canada",building,retail,"49.910491,-97.02717729999999",n
-97.06749239,49.9041611,Sobeys,Sobeys Reenders,7 Reenders Drive,Winnipeg,Manitoba,R2C5K5,Canada,https://www.sobeys.com/store-locator,0,56722728,"Sobeys, 7, Reenders Drive, Kildonan Crossing, Elmwood - East Kildonan, Winnipeg, Manitoba, R2C 5S6, Canada",shop,supermarket,"49.904161099999996,-97.06749239138313",n
